TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
,202374,Solomon,Alabi,Solomon Alabi,C,83.5,6' 11.5'',84.75,7' 0.75'',237.4,89.0,7' 5'',113.0,9' 5'',5.0,9.25,9.25
,202332,Cole,Aldrich,Cole Aldrich,C,81.0,6' 9'',83.25,6' 11.25'',236,88.75,7' 4.75'',111.5,9' 3.5'',8.5,9.0,9.25
,202329,Al-Farouq,Aminu,Al-Farouq Aminu,SF,79.25,6' 7.25'',80.5,6' 8.5'',216,87.25,7' 3.25'',108.5,9' 0.5'',8.2,9.5,9.5
,202341,James,Anderson,James Anderson,SF,76.75,6' 4.75'',77.75,6' 5.75'',207.6,80.5,6' 8.5'',104.0,8' 8'',7.9,8.5,7.25
,202337,Luke,Babbitt,Luke Babbitt,SF-PF,79.5,6' 7.5'',80.75,6' 8.75'',217.8,83.25,6' 11.25'',104.5,8' 8.5'',5.6,8.5,10.0
,202339,Eric,Bledsoe,Eric Bledsoe,PG,72.25,6' 0.25'',73.5,6' 1.5'',191.6,79.5,6' 7.5'',98.0,8' 2'',5.6,8.5,9.75
,202344,Trevor,Booker,Trevor Booker,PF,78.25,6' 6.25'',79.5,6' 7.5'',235.8,81.75,6' 9.75'',106.0,8' 10'',7.3,9.0,9.5
,202342,Craig,Brackins,Craig Brackins,PF-SF,80.5,6' 8.5'',81.75,6' 9.75'',229,84.0,7' 0'',109.0,9' 1'',7.9,9.5,11.25
,202340,Avery,Bradley,Avery Bradley,SG-PG,74.0,6' 2'',75.25,6' 3.25'',180.4,79.25,6' 7.25'',98.5,8' 2.5'',4.0,8.25,9.5
,202382,Derrick,Caracter,Derrick Caracter,PF,80.25,6' 8.25'',81.5,6' 9.5'',280,84.25,7' 0.25'',107.5,8' 11.5'',12.8,9.0,10.25
,202395,Sherron,Collins,Sherron Collins,PG,70.25,5' 10.25'',71.75,5' 11.75'',217.2,74.5,6' 2.5'',94.0,7' 10'',9.2,8.5,9.5
,202326,DeMarcus,Cousins,DeMarcus Cousins,C,81.5,6' 9.5'',82.75,6' 10.75'',291.8,89.75,7' 5.75'',113.0,9' 5'',16.4,9.25,10.0
,202348,Jordan,Crawford,Jordan Crawford,SG,75.0,6' 3'',76.5,6' 4.5'',198.4,79.0,6' 7'',101.0,8' 5'',4.9,8.0,9.0
,202334,Ed,Davis,Ed Davis,PF,81.0,6' 9'',81.75,6' 9.75'',226.6,84.0,7' 0'',108.0,9' 0'',10.0,9.25,10.0
,202365,Devin,Ebanks,Devin Ebanks,SF,79.0,6' 7'',80.25,6' 8.25'',207.8,84.25,7' 0.25'',107.5,8' 11.5'',7.9,8.25,9.0
,202324,Derrick,Favors,Derrick Favors,PF,80.75,6' 8.75'',82.25,6' 10.25'',245.2,88.0,7' 4'',110.0,9' 2'',6.5,8.75,9.25
,12316,Keith,Gallon,Keith Gallon,PF-C,80.5,6' 8.5'',81.5,6' 9.5'',301.8,88.5,7' 4.5'',109.5,9' 1.5'',15.1,9.25,10.5
,12317,Charles,Garcia,Charles Garcia,SF,80.25,6' 8.25'',81.25,6' 9.25'',231.6,85.75,7' 1.75'',107.5,8' 11.5'',7.0,8.75,9.0
,202331,Paul,George,Paul George,SF,79.75,6' 7.75'',80.75,6' 8.75'',214.4,83.25,6' 11.25'',107.0,8' 11'',5.0,8.5,9.0
,202376,Luke,Harangody,Luke Harangody,PF,78.0,6' 6'',79.75,6' 7.75'',240.2,81.5,6' 9.5'',106.0,8' 10'',11.1,8.75,9.75
,202412,Manny,Harris,Manny Harris,SG,76.0,6' 4'',77.5,6' 5.5'',185.1,79.25,6' 7.25'',102.0,8' 6'',3.8,8.5,9.0
,202330,Gordon,Hayward,Gordon Hayward,SF,78.75,6' 6.75'',80.0,6' 8'',211,79.75,6' 7.75'',103.0,8' 7'',6.9,8.5,9.25
,202351,Lazar,Hayward,Lazar Hayward,SG-SF,76.5,6' 4.5'',77.75,6' 5.75'',225.8,84.75,7' 0.75'',102.0,8' 6'',7.5,9.25,9.5
,202333,Xavier,Henry,Xavier Henry,SG,77.25,6' 5.25'',78.5,6' 6.5'',210.2,83.25,6' 11.25'',105.0,8' 9'',4.7,8.75,10.0
,202359,Darington,Hobson,Darington Hobson,SG-SF,77.25,6' 5.25'',78.5,6' 6.5'',203.6,81.25,6' 9.25'',104.5,8' 8.5'',6.2,8.25,9.0
,202345,Damion,James,Damion James,SF,78.25,6' 6.25'',79.75,6' 7.75'',226.6,84.75,7' 0.75'',107.0,8' 11'',9.6,9.25,8.5
,202325,Wesley,Johnson,Wesley Johnson,SF,78.25,6' 6.25'',79.25,6' 7.25'',206.4,85.0,7' 1'',106.0,8' 10'',4.6,9.0,9.5
,202356,Armon,Johnson,Armon Johnson,PG-SG,74.0,6' 2'',75.25,6' 3.25'',195.2,80.0,6' 8'',99.5,8' 3.5'',5.6,8.25,9.25
,202346,Dominique,Jones,Dominique Jones,SG,75.25,6' 3.25'',77.0,6' 5'',216,81.25,6' 9.25'',101.0,8' 5'',5.9,9.0,10.25
,12329,Jerome,Jordan,Jerome Jordan,C,83.5,6' 11.5'',84.75,7' 0.75'',244.2,89.25,7' 5.25'',113.0,9' 5'',6.9,9.0,10.25
,12330,Sylven,Landesberg,Sylven Landesberg,SG,76.75,6' 4.75'',78.25,6' 6.25'',210,81.0,6' 9'',100.5,8' 4.5'',11.6,8.75,10.75
,202371,Gani,Lawal,Gani Lawal,PF,79.5,6' 7.5'',81.0,6' 9'',233.4,84.0,7' 0'',107.5,8' 11.5'',6.3,8.5,10.0
,202328,Greg,Monroe,Greg Monroe,PF-C,81.75,6' 9.75'',83.0,6' 11'',246.6,86.25,7' 2.25'',108.5,9' 0.5'',11.2,8.75,9.5
