TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
,202399,Jeff,Adrien,Jeff Adrien,PF,77.25,6' 5.25'',78.5,6' 6.5'',236.2,86.0,7' 2'',107.5,8' 11.5'',7.9,,
,201965,Jeff,Ayres,Jeff Ayres,PF,80.75,6' 8.75'',82.0,6' 10'',239.6,85.0,7' 1'',107.0,8' 11'',5.5,,
,201958,Rodrigue,Beaubois,Rodrigue Beaubois,PG,73.25,6' 1.25'',74.25,6' 2.25'',182.4,81.75,6' 9.75'',100.0,8' 4'',7.9,,
,201971,DeJuan,Blair,DeJuan Blair,PF,77.25,6' 5.25'',78.5,6' 6.5'',276.6,86.0,7' 2'',106.5,8' 10.5'',12.0,,
,201974,Derrick,Brown,Derrick Brown,SF-PF,79.5,6' 7.5'',80.5,6' 8.5'',224.6,86.5,7' 2.5'',107.5,8' 11.5'',8.6,,
,201978,Chase,Budinger,Chase Budinger,SF-SG,78.25,6' 6.25'',79.0,6' 7'',206.4,79.0,6' 7'',101.0,8' 5'',10.0,,
,201960,DeMarre,Carroll,DeMarre Carroll,PF-SF,78.25,6' 6.25'',79.75,6' 7.75'',207.2,82.0,6' 10'',105.0,8' 9'',6.3,,
,201956,Omri,Casspi,Omri Casspi,SF,79.75,6' 7.75'',81.25,6' 9.25'',211.2,81.25,6' 9.25'',106.5,8' 10.5'',8.6,,
,12275,Dionte,Christmas,Dionte Christmas,SG,76.25,6' 4.25'',77.5,6' 5.5'',210.8,81.0,6' 9'',102.5,8' 6.5'',7.1,,
,201947,Earl,Clark,Earl Clark,SF-PF,80.5,6' 8.5'',82.25,6' 10.25'',228.4,86.5,7' 2.5'',109.5,9' 1.5'',5.2,,
,201954,Darren,Collison,Darren Collison,PG,72.25,6' 0.25'',73.5,6' 1.5'',166.2,75.0,6' 3'',96.5,8' 0.5'',5.7,,
,201967,Dante,Cunningham,Dante Cunningham,PF,79.0,6' 7'',80.25,6' 8.25'',227.4,83.0,6' 11'',106.5,8' 10.5'',4.8,,
,201939,Stephen,Curry,Stephen Curry,PG-SG,74.0,6' 2'',75.25,6' 3.25'',181,75.5,6' 3.5'',97.0,8' 1'',5.7,,
,201948,Austin,Daye,Austin Daye,SF-PF,81.75,6' 9.75'',82.75,6' 10.75'',191.8,86.75,7' 2.75'',110.0,9' 2'',5.5,,
,201942,DeMar,DeRozan,DeMar DeRozan,SG-SF,77.5,6' 5.5'',78.5,6' 6.5'',211.2,81.0,6' 9'',102.5,8' 6.5'',4.9,,
,201962,Toney,Douglas,Toney Douglas,PG,73.0,6' 1'',74.0,6' 2'',183.4,78.0,6' 6'',97.5,8' 1.5'',5.2,,
,201961,Wayne,Ellington,Wayne Ellington,SG,76.25,6' 4.25'',77.25,6' 5.25'',202.4,78.5,6' 6.5'',100.0,8' 4'',5.5,,
,201936,Tyreke,Evans,Tyreke Evans,PG-SG,76.0,6' 4'',77.25,6' 5.25'',220.6,83.25,6' 11.25'',104.0,8' 8'',7.1,,
,201938,Jonny,Flynn,Jonny Flynn,PG,71.25,5' 11.25'',72.75,6' 0.75'',195.6,76.0,6' 4'',95.5,7' 11.5'',6.3,,
,201959,Taj,Gibson,Taj Gibson,PF,80.5,6' 8.5'',81.75,6' 9.75'',214.4,88.0,7' 4'',109.0,9' 1'',6.6,,
,201980,Danny,Green,Danny Green,SG-SF,77.25,6' 5.25'',78.5,6' 6.5'',208,82.0,6' 10'',103.0,8' 7'',5.6,,
,201933,Blake,Griffin,Blake Griffin,PF,80.5,6' 8.5'',82.0,6' 10'',248.4,83.25,6' 11.25'',105.0,8' 9'',8.2,,
,201946,Tyler,Hansbrough,Tyler Hansbrough,PF,80.25,6' 8.25'',81.5,6' 9.5'',234.2,83.5,6' 11.5'',106.0,8' 10'',8.5,,
,201935,James,Harden,James Harden,SG,76.0,6' 4'',77.25,6' 5.25'',222,82.75,6' 10.75'',103.5,8' 7.5'',10.1,,
,201945,Gerald,Henderson,Gerald Henderson,SG-SF,76.0,6' 4'',77.0,6' 5'',214.6,82.25,6' 10.25'',102.5,8' 6.5'',4.4,,
,12278,Josh,Heytvelt,Josh Heytvelt,PF-C,82.0,6' 10'',83.0,6' 11'',246.2,85.25,7' 1.25'',108.0,9' 0'',10.8,,
,201941,Jordan,Hill,Jordan Hill,PF-C,81.25,6' 9.25'',82.25,6' 10.25'',232.4,85.5,7' 1.5'',108.0,9' 0'',6.0,,
,201950,Jrue,Holiday,Jrue Holiday,PG-SG,75.25,6' 3.25'',76.25,6' 4.25'',199,79.0,6' 7'',100.5,8' 4.5'',6.3,,
,12279,Joe,Ingles,Joe Ingles,SF,79.75,6' 7.75'',80.25,6' 8.25'',209.2,82.25,6' 10.25'',105.0,8' 9'',10.1,,
,201949,James,Johnson,James Johnson,SF-PF,79.0,6' 7'',79.75,6' 7.75'',257.2,84.75,7' 0.75'',105.5,8' 9.5'',12.0,,
,201951,Ty,Lawson,Ty Lawson,PG,71.25,5' 11.25'',72.5,6' 0.5'',196.6,72.75,6' 0.75'',94.5,7' 10.5'',6.6,,
,201953,Eric,Maynor,Eric Maynor,PG,74.25,6' 2.25'',75.25,6' 3.25'',163.6,74.5,6' 2.5'',97.0,8' 1'',5.4,,
,12282,Jack,McClinton,Jack McClinton,SG-PG,71.75,5' 11.75'',72.75,6' 0.75'',185.2,74.5,6' 2.5'',96.0,8' 0'',6.2,,
,12283,Jerel,McNeal,Jerel McNeal,SG,73.5,6' 1.5'',75.0,6' 3'',190.4,79.25,6' 7.25'',99.5,8' 3.5'',5.4,,
,201975,Jodie,Meeks,Jodie Meeks,SG,75.0,6' 3'',76.0,6' 4'',211.4,76.5,6' 4.5'',98.0,8' 2'',8.0,,
,201988,Patty,Mills,Patty Mills,PG,71.25,5' 11.25'',72.5,6' 0.5'',175.4,74.0,6' 2'',95.0,7' 11'',6.9,,
,201957,Byron,Mullens,Byron Mullens,C,83.75,6' 11.75'',85.25,7' 1.25'',258.2,85.5,7' 1.5'',111.0,9' 3'',8.5,,
,201985,A.J.,Price,A.J. Price,PG,72.5,6' 0.5'',74.0,6' 2'',192.8,75.75,6' 3.75'',97.0,8' 1'',12.4,,
,12284,Tyler,Smith,Tyler Smith,SF,77.25,6' 5.25'',78.0,6' 6'',212,81.75,6' 9.75'',104.5,8' 8.5'',7.0,,
,201969,DaJuan,Summers,DaJuan Summers,SF,79.25,6' 7.25'',80.5,6' 8.5'',243,84.75,7' 0.75'',106.5,8' 10.5'',6.6,,
,201966,Jermaine,Taylor,Jermaine Taylor,SG,75.5,6' 3.5'',76.75,6' 4.75'',207.4,80.75,6' 8.75'',101.0,8' 5'',5.8,,
,201952,Jeff,Teague,Jeff Teague,PG,72.25,6' 0.25'',73.5,6' 1.5'',175.2,79.5,6' 7.5'',98.5,8' 2.5'',4.5,,
