TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
,12243,Jamar,Butler,Jamar Butler,PG,72.25,6' 0.25'',73.5,6' 1.5'',182,76.75,6' 4.75'',97.0,8' 1'',6.0,,
,12244,Pat,Calathes,Pat Calathes,SF-PF,80.75,6' 8.75'',81.75,6' 9.75'',204,81.75,6' 9.75'',106.0,8' 10'',7.3,,
,12245,Joe,Crawford,Joe Crawford,SG,75.0,6' 3'',76.0,6' 4'',213,77.75,6' 5.75'',99.5,8' 3.5'',7.6,,
,12246,Chris,Daniels,Chris Daniels,C-PF,80.25,6' 8.25'',81.5,6' 9.5'',256,84.5,7' 0.5'',109.0,9' 1'',16.1,,
,201595,Joey,Dorsey,Joey Dorsey,PF-C,78.25,6' 6.25'',79.25,6' 7.25'',265,85.75,7' 1.75'',107.0,8' 11'',9.0,,
,12247,Marcus,Dove,Marcus Dove,SF-PF,78.75,6' 6.75'',79.5,6' 7.5'',208,83.5,6' 11.5'',105.0,8' 9'',5.3,,
,12248,Josh,Duncan,Josh Duncan,PF,80.0,6' 8'',81.0,6' 9'',230,83.5,6' 11.5'',104.5,8' 8.5'',5.4,,
,12249,Frank,Elegar,Frank Elegar,PF,79.25,6' 7.25'',80.75,6' 8.75'',210,87.25,7' 3.25'',106.0,8' 10'',4.5,,
,201607,Patrick,Ewing Jr.,Patrick Ewing Jr.,SF-PF,78.0,6' 6'',79.25,6' 7.25'',224,84.25,7' 0.25'',97.5,8' 1.5'',9.4,,
,201814,Gary,Forbes,Gary Forbes,SG,76.5,6' 4.5'',77.75,6' 5.75'',220.5,83.25,6' 11.25'',104.5,8' 8.5'',6.5,,
,12250,Shan,Foster,Shan Foster,SG,76.0,6' 4'',77.25,6' 5.25'',194.5,83.5,6' 11.5'',103.5,8' 7.5'',6.3,,
,201592,J.R.,Giddens,J.R. Giddens,SG,76.0,6' 4'',76.75,6' 4.75'',208,83.25,6' 11.25'',103.0,8' 7'',5.4,,
,12251,James,Gist,James Gist,PF,79.0,6' 7'',80.5,6' 8.5'',220,88.0,7' 4'',107.5,8' 11.5'',4.8,,
,12252,Vladimir,Golubovic,Vladimir Golubovic,C,83.25,6' 11.25'',84.25,7' 0.25'',258,86.5,7' 2.5'',111.5,9' 3.5'',6.9,,
,201569,Eric,Gordon,Eric Gordon,SG,74.0,6' 2'',75.25,6' 3.25'',222,81.0,6' 9'',99.0,8' 3'',8.2,,
,201863,Kentrell,Gransberry,Kentrell Gransberry,C,78.75,6' 6.75'',79.75,6' 7.75'',290,82.25,6' 10.25'',106.0,8' 10'',17.4,,
,201590,Donte,Greene,Donte Greene,SF-PF,80.25,6' 8.25'',81.0,6' 9'',221,82.0,6' 10'',108.0,9' 0'',7.6,,
,201612,Malik,Hairston,Malik Hairston,SG,76.25,6' 4.25'',77.25,6' 5.25'',204,81.0,6' 9'',103.5,8' 7.5'',6.9,,
,201614,DeVon,Hardin,DeVon Hardin,C-PF,81.5,6' 9.5'',82.75,6' 10.75'',235,87.0,7' 3'',109.5,9' 1.5'',5.8,,
,201613,Richard,Hendrix,Richard Hendrix,PF,78.75,6' 6.75'',80.75,6' 8.75'',250,87.0,7' 3'',108.0,9' 0'',9.2,,
,201588,George,Hill,George Hill,PG,73.25,6' 1.25'',74.5,6' 2.5'',181,81.0,6' 9'',97.5,8' 1.5'',3.0,,
,12254,Kyle,Hines,Kyle Hines,SF-PF,75.75,6' 3.75'',77.25,6' 5.25'',234,85.25,7' 1.25'',104.5,8' 8.5'',3.6,,
,12255,Jiri,Hubalek,Jiri Hubalek,C-PF,81.5,6' 9.5'',83.0,6' 11'',226,82.75,6' 10.75'',109.0,9' 1'',8.8,,
,201991,Lester,Hudson,Lester Hudson,PG,71.75,5' 11.75'',73.0,6' 1'',196,80.75,6' 8.75'',98.5,8' 2.5'',3.4,,
,201629,Othello,Hunter,Othello Hunter,PF-SF,78.5,6' 6.5'',79.5,6' 7.5'',220,87.0,7' 3'',109.5,9' 1.5'',6.4,,
,201616,Darnell,Jackson,Darnell Jackson,PF,79.0,6' 7'',79.75,6' 7.75'',240.5,83.25,6' 11.25'',106.5,8' 10.5'',12.5,,
,12256,Shawn,James,Shawn James,PF,79.75,6' 7.75'',81.0,6' 9'',217,89.0,7' 5'',111.0,9' 3'',9.2,,
,12257,Davon,Jefferson,Davon Jefferson,SF,77.25,6' 5.25'',78.5,6' 6.5'',213,81.5,6' 9.5'',105.0,8' 9'',12.0,,
,12258,Joseph,Jones,Joseph Jones,PF,79.0,6' 7'',80.5,6' 8.5'',240,84.25,7' 0.25'',107.0,8' 11'',12.2,,
,201599,DeAndre,Jordan,DeAndre Jordan,C,81.75,6' 9.75'',83.0,6' 11'',250,90.0,7' 6'',113.5,9' 5.5'',7.5,,
,12253,Sasha,Kaun,Sasha Kaun,C-PF,81.0,6' 9'',82.75,6' 10.75'',247,88.0,7' 4'',110.0,9' 2'',9.6,,
,12260,Marcelus,Kemp,Marcelus Kemp,SG,75.0,6' 3'',76.25,6' 4.25'',221,80.5,6' 8.5'',103.5,8' 7.5'',9.0,,
,12261,Maarty,Leunen,Maarty Leunen,SF,79.25,6' 7.25'',80.5,6' 8.5'',222,80.0,6' 8'',102.5,8' 6.5'',8.9,,
,201848,Longar,Longar,Longar Longar,C,81.0,6' 9'',82.0,6' 10'',212.5,85.25,7' 1.25'',109.5,9' 1.5'',10.6,,
,201572,Brook,Lopez,Brook Lopez,C,83.25,6' 11.25'',84.5,7' 0.5'',258,89.5,7' 5.5'',113.0,9' 5'',6.3,,
,201567,Kevin,Love,Kevin Love,PF,79.75,6' 7.75'',81.5,6' 9.5'',255,83.25,6' 11.25'',106.0,8' 10'',12.9,,
,12262,Aleks,Maric,Aleks Maric,C,81.75,6' 9.75'',82.75,6' 10.75'',273,85.0,7' 1'',109.5,9' 1.5'',10.1,,
,201564,O.J.,Mayo,O.J. Mayo,SG-PG,75.25,6' 3.25'',76.25,6' 4.25'',200,78.0,6' 6'',99.5,8' 3.5'',6.3,,
,201651,James,Mays,James Mays,PF,78.75,6' 6.75'',79.75,6' 7.75'',227,85.75,7' 1.75'',105.0,8' 9'',8.8,,
,201601,Luc,Mbah a Moute,Luc Mbah a Moute,SF,77.75,6' 5.75'',79.5,6' 7.5'',221,86.5,7' 2.5'',103.5,8' 7.5'',7.0,,
,201580,JaVale,McGee,JaVale McGee,C-PF,83.0,6' 11'',84.0,7' 0'',241,90.0,7' 6'',114.5,9' 6.5'',5.3,,
,12263,Drew,Neitzel,Drew Neitzel,PG,71.75,5' 11.75'',72.75,6' 0.75'',175.5,74.5,6' 2.5'',95.0,7' 11'',6.2,,
,201634,DeMarcus,Nelson,DeMarcus Nelson,PG-SG,73.0,6' 1'',74.25,6' 2.25'',198,82.0,6' 10'',98.5,8' 2.5'',4.5,,
,201624,David,Padgett,David Padgett,C-PF,82.25,6' 10.25'',83.5,6' 11.5'',239.5,85.0,7' 1'',109.5,9' 1.5'',9.0,,
,12264,Jeremy,Pargo,Jeremy Pargo,PG,72.5,6' 0.5'',73.5,6' 1.5'',208,77.0,6' 5'',96.0,8' 0'',7.6,,
,12265,Trent,Plaisted,Trent Plaisted,PF,81.25,6' 9.25'',82.25,6' 10.25'',240,82.5,6' 10.5'',105.5,8' 9.5'',11.0,,
,12266,Quan,Prowell,Quan Prowell,SF-PF,78.75,6' 6.75'',79.75,6' 7.75'',225.5,82.5,6' 10.5'',103.5,8' 7.5'',6.5,,
,12267,Shaun,Pruitt,Shaun Pruitt,C-PF,80.25,6' 8.25'',81.0,6' 9'',242.2,85.0,7' 1'',107.5,8' 11.5'',13.8,,
,201576,Anthony,Randolph,Anthony Randolph,PF-SF,81.0,6' 9'',82.25,6' 10.25'',197,87.0,7' 3'',109.0,9' 1'',4.7,,
,12268,Charles,Rhodes,Charles Rhodes,PF,79.25,6' 7.25'',80.25,6' 8.25'',244,83.25,6' 11.25'',107.5,8' 11.5'',10.7,,
,12259,John,Riek,John Riek,C,82.5,6' 10.5'',84.0,7' 0'',237,92.75,7' 8.75'',,,11.0,,
,12269,Brian,Roberts,Brian Roberts,PG,72.25,6' 0.25'',73.25,6' 1.25'',173,73.25,6' 1.25'',95.0,7' 11'',3.6,,
,201781,Russell,Robinson,Russell Robinson,PG,72.5,6' 0.5'',73.5,6' 1.5'',196,80.0,6' 8'',100.5,8' 4.5'',7.4,,
,12270,Richard,Roby,Richard Roby,SG-SF,76.25,6' 4.25'',77.5,6' 5.5'',203,81.75,6' 9.75'',104.0,8' 8'',9.2,,
,201565,Derrick,Rose,Derrick Rose,PG,73.5,6' 1.5'',74.5,6' 2.5'',196,80.0,6' 8'',98.5,8' 2.5'',4.6,,
,201606,Sean,Singletary,Sean Singletary,PG,71.0,5' 11'',72.0,6' 0'',183.8,76.5,6' 4.5'',95.0,7' 11'',4.2,,
,12271,Ronald,Steele,Ronald Steele,PG,72.25,6' 0.25'',73.5,6' 1.5'',183.5,76.25,6' 4.25'',97.5,8' 1.5'',8.1,,
,12272,Bryce,Taylor,Bryce Taylor,SG,74.75,6' 2.75'',76.25,6' 4.25'',210,81.0,6' 9'',99.5,8' 3.5'',8.3,,
,201446,Mike,Taylor,Mike Taylor,SG-PG,72.75,6' 0.75'',74.0,6' 2'',166.2,79.25,6' 7.25'',98.0,8' 2'',3.8,,
,201872,Mark,Tyndale,Mark Tyndale,SG-SF,74.75,6' 2.75'',75.5,6' 3.5'',217,83.0,6' 11'',103.5,8' 7.5'',6.7,,
,12273,Robert,Vaden,Robert Vaden,SG,75.5,6' 3.5'',76.5,6' 4.5'',199,80.0,6' 8'',101.0,8' 5'',6.2,,
,201622,Deron,Washington,Deron Washington,SF,77.25,6' 5.25'',78.25,6' 6.25'',198.5,81.0,6' 9'',102.5,8' 6.5'',7.2,,
,201603,Sonny,Weems,Sonny Weems,SG-SF,76.0,6' 4'',77.5,6' 5.5'',193,82.0,6' 10'',104.0,8' 8'',4.4,,
,201566,Russell,Westbrook,Russell Westbrook,PG,74.25,6' 2.25'',75.5,6' 3.5'',192,79.75,6' 7.75'',100.0,8' 4'',4.8,,
,199,Reggie,Williams,Reggie Williams,SG,75.25,6' 3.25'',76.0,6' 4'',199,81.25,6' 9.25'',103.0,8' 7'',5.3,,
