player.name,player.id,team.abbreviation,period
Khris Middleton,203114,MIL,1
Giannis Antetokounmpo,203507,MIL,1
Brook Lopez,201572,MIL,1
Malcolm Brogdon,1627763,MIL,1
Eric Bledsoe,202339,MIL,1
Gordon Hayward,202330,BOS,1
Semi Ojeleye,1628400,BOS,1
Al Horford,201143,BOS,1
Jayson Tatum,1628369,BOS,1
Kyrie Irving,202681,BOS,1
Giannis Antetokounmpo,203507,MIL,2
Brook Lopez,201572,MIL,2
Malcolm Brogdon,1627763,MIL,2
Donte DiVincenzo,1628978,MIL,2
Tony Snell,203503,MIL,2
Jayson Tatum,1628369,BOS,2
Terry Rozier,1626179,BOS,2
Marcus Morris Sr.,202694,BOS,2
Marcus Smart,203935,BOS,2
Aron Baynes,203382,BOS,2
Khris Middleton,203114,MIL,3
Giannis Antetokounmpo,203507,MIL,3
Brook Lopez,201572,MIL,3
Malcolm Brogdon,1627763,MIL,3
Eric Bledsoe,202339,MIL,3
Gordon Hayward,202330,BOS,3
Semi Ojeleye,1628400,BOS,3
Al Horford,201143,BOS,3
Jayson Tatum,1628369,BOS,3
Kyrie Irving,202681,BOS,3
Giannis Antetokounmpo,203507,MIL,4
Brook Lopez,201572,MIL,4
Eric Bledsoe,202339,MIL,4
Donte DiVincenzo,1628978,MIL,4
Tony Snell,203503,MIL,4
Gordon Hayward,202330,BOS,4
Semi Ojeleye,1628400,BOS,4
Terry Rozier,1626179,BOS,4
Marcus Morris Sr.,202694,BOS,4
Aron Baynes,203382,BOS,4
