player.name,player.id,team.abbreviation,period
Kyle Singler,202713,DET,1
Jason Maxiell,101131,DET,1
Greg Monroe,202328,DET,1
Brandon Knight,202688,DET,1
Jose Calderon,101181,DET,1
Martell Webster,101110,WAS,1
Trevor Booker,202344,WAS,1
Emeka Okafor,2731,WAS,1
Bradley Beal,203078,WAS,1
John Wall,202322,WAS,1
Greg Monroe,202328,DET,2
Jonas Jerebko,201973,DET,2
Rodney Stuckey,201155,DET,2
Kim English,203119,DET,2
Will Bynum,101198,DET,2
Emeka Okafor,2731,WAS,2
Bradley Beal,203078,WAS,2
Trevor Ariza,2772,WAS,2
AJ Price,201985,WAS,2
Chris Singleton,202698,WAS,2
Kyle Singler,202713,DET,3
Jason Maxiell,101131,DET,3
Greg Monroe,202328,DET,3
Brandon Knight,202688,DET,3
Jose Calderon,101181,DET,3
Martell Webster,101110,WAS,3
Trevor Booker,202344,WAS,3
Emeka Okafor,2731,WAS,3
Bradley Beal,203078,WAS,3
John Wall,202322,WAS,3
Greg Monroe,202328,DET,4
Brandon Knight,202688,DET,4
Jose Calderon,101181,DET,4
Jonas Jerebko,201973,DET,4
Rodney Stuckey,201155,DET,4
Bradley Beal,203078,WAS,4
Trevor Ariza,2772,WAS,4
AJ Price,201985,WAS,4
Chris Singleton,202698,WAS,4
Kevin Seraphin,202338,WAS,4
